"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:54JbP4PgOMQGowCbCfjCNA","Float","spotify:artist:5fENlrINIVP0gJOtKxvORt","Call Me Karizma","spotify:album:057yHZleUWDU9CKw9ihU2R","Float","spotify:artist:5fENlrINIVP0gJOtKxvORt","Call Me Karizma","2020-04-24","https://i.scdn.co/image/ab67616d0000b27355dc42b1c7f633524806525a","1","1","169093","https://p.scdn.co/mp3-preview/d9cb585e65d93e5f824175aef7076cebacfb3d37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USQX92000312","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0gucUyFMFRMlUiVn9US4YX","Losers (Feat. Jelly Roll)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:19k8AgwwTSxeaxkOuCQEJs","Post Malone, Jelly Roll","spotify:album:4BbsHmXEghoPPevQjPnHXx","F-1 Trillion","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2024-08-15","https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0","1","10","209038","https://p.scdn.co/mp3-preview/cc6fcec28a707671406f1ca5292e451fca556d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USUM72405599","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0ToRGhN2XSJ2viXeZh17Y3","Wolves (feat. Post Malone)","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:246dkjvS1zLTtiykXe5h60","Big Sean, Post Malone","spotify:album:5iJvtKGTQRIo2KL42xS7JX","Detroit 2 (Deluxe)","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2022-09-19","https://i.scdn.co/image/ab67616d0000b2736bc7f20a88efc5cc056e1195","1","4","199758","https://p.scdn.co/mp3-preview/92dac29304834d377f88e10bed7a3e20cc498d40?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","USUM72016329","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:3tJ4y2Zqx6gM9xOAuFfsSF","Cool Girl","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","spotify:album:1tuekzsMZQOuiMejKP6t2Y","Lady Wood","spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Tove Lo","2016-10-28","https://i.scdn.co/image/ab67616d0000b2739f0c014998bac13d3181474c","1","5","199179","https://p.scdn.co/mp3-preview/2d7256faacce494471c3bc0991e53fac890416cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","SEUM71601198","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:09IOPhEh1OMe0HD9b36FJk","Over Now","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","7","246986","https://p.scdn.co/mp3-preview/f30208967d575b93399a456b957cab901cf5a7e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71805169","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:4FxkQzIhsLAkuiqX5puvU6","Till It's Gone","spotify:artist:68DWke2VjdDmA75aJX5C57","Yelawolf","spotify:album:4mugszxpE45gV3mObOBlpN","Love Story","spotify:artist:68DWke2VjdDmA75aJX5C57","Yelawolf","2015-04-21","https://i.scdn.co/image/ab67616d0000b27385b51e47b16a87b82c252dc5","1","6","275546","https://p.scdn.co/mp3-preview/90267e29cc8ef95c3fc293b9e95da585b70629bf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM71413596","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:0t3ZvGKlmYmVsDzBJAXK8C","Goodbyes (feat. Young Thug)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Post Malone, Young Thug","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","14","174853","https://p.scdn.co/mp3-preview/5eaefa30dfb2fef460bc377f933b570a0c931596?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71912330","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:707d8L3OzWPJSli7qpnejO","Fall In Love - Until The Ribbon Breaks Reimagination","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH, spotify:artist:0PFM64sKw3GG4Sk8kqNIcp","Phantogram, Until The Ribbon Breaks","spotify:album:6Loq9Mr8ncb4eDhJVNm1pf","Fall In Love (Until The Ribbon Breaks Reimagination)","spotify:artist:1l9d7B8W0IHy3LqWsxP2SH","Phantogram","2017-09-01","https://i.scdn.co/image/ab67616d0000b273a6e589e8a7fd7cadb9cded65","1","1","254320","https://p.scdn.co/mp3-preview/ffd2f41b5d366eccc4a69ebe71ab6c1b95ca2c05?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","USUM71709307","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:4qmG24ebshLXtKu9HIShBP","Lace It (with Eminem & benny blanco)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5CiGnKThu5ctn9pBxv7DGa","Juice WRLD, Eminem, benny blanco","spotify:album:5nOfPCLpHGpayGrUNHAPLt","Lace It (with Eminem & benny blanco)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:5CiGnKThu5ctn9pBxv7DGa","Juice WRLD, Eminem, benny blanco","2023-12-16","https://i.scdn.co/image/ab67616d0000b273e05fe4b697132433e6419d08","1","1","217526","https://p.scdn.co/mp3-preview/b414b595788c45edd3a6c8ef767afca72eab8cc8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USUG12303678","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
"spotify:track:53QA7j4pHWAtbE3D0Glh7Q","You and Me","spotify:artist:68DWke2VjdDmA75aJX5C57","Yelawolf","spotify:album:2dTnaecImWLJOMrJgF5HAt","Ghetto Cowboy","spotify:artist:68DWke2VjdDmA75aJX5C57","Yelawolf","2019-11-01","https://i.scdn.co/image/ab67616d0000b2736594f5017768803de9ddd719","1","10","242001","https://p.scdn.co/mp3-preview/42ca53a61131bf4de523a9d9166e04628a41e4bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","QZHZ41908103","spotify:user:22fmhktdnoychzqazggsbzgla","2026-06-25T16:02:35Z"
